"qtr_year";"region";"total_count";"region_area";"population";"tran_p_ha";"tran_p_pop"
2004-07-01;"Hiiu";4;263;3970;0,0152091254752852;0,00100755667506297
2004-07-01;"Järve";29;105;2957;0,276190476190476;0,00980723706459249
2004-07-01;"Juhkentali";4;130;1374;0,0307692307692308;0,00291120815138282
2004-07-01;"Kadaka";8;281;3791;0,0284697508896797;0,00211026114481667
2004-07-01;"Kadriorg";44;256;5010;0,171875;0,00878243512974052
2004-07-01;"Kalamaja";63;210;10756;0,3;0,00585719598363704
2004-07-01;"Karjamaa";12;97;5240;0,123711340206186;0,00229007633587786
2004-07-01;"Kassisaba";30;45;4766;0,666666666666667;0,00629458665547629
2004-07-01;"Katleri";24;38;5133;0,631578947368421;0,00467562828755114
2004-07-01;"Keldrimäe";18;35;5268;0,514285714285714;0,00341685649202733
2004-07-01;"Kelmiküla";5;21;1266;0,238095238095238;0,00394944707740916
2004-07-01;"Kitseküla";29;140;4250;0,207142857142857;0,00682352941176471
2004-07-01;"Kivimäe";10;222;4809;0,045045045045045;0,00207943439384487
2004-07-01;"Kompassi";14;16;1982;0,875;0,0070635721493441
2004-07-01;"Kopli";21;282;7082;0,074468085106383;0,00296526404970347
2004-07-01;"Kose";9;346;3337;0,0260115606936416;0,00269703326341025
2004-07-01;"Kurepõllu";16;68;3890;0,235294117647059;0,00411311053984576
2004-07-01;"Kuristiku";58;84;11103;0,69047619047619;0,00522381338377015
2004-07-01;"Laagna";114;136;24093;0,838235294117647;0,00473166479890425
2004-07-01;"Laagri";1;41;906;0,024390243902439;0,0011037527593819
2004-07-01;"Lepiku";22;162;1565;0,135802469135802;0,0140575079872204
2004-07-01;"Liiva";2;264;1333;0,00757575757575758;0,00150037509377344
2004-07-01;"Lilleküla";119;546;26051;0,217948717948718;0,00456796284211739
2004-07-01;"Loopealse";1;57;2682;0,0175438596491228;0,000372856077554064
2004-07-01;"Maakri";13;13;1082;1;0,0120147874306839
2004-07-01;"Maarjamäe";1;155;2493;0,00645161290322581;0,000401123144805455
2004-07-01;"Mähe";32;282;6509;0,113475177304965;0,00491626978030419
2004-07-01;"Männiku";14;447;5870;0,0313199105145414;0,00238500851788756
2004-07-01;"Mustakivi";80;116;20055;0,689655172413793;0,00398903016704064
2004-07-01;"Mustamäe";232;441;51293;0,526077097505669;0,00452303433217008
2004-07-01;"Mustjõe";5;179;3167;0,0279329608938547;0,00157878118092832
2004-07-01;"Nõmme";11;480;6685;0,0229166666666667;0,00164547494390426
2004-07-01;"Õismäe";1;178;1242;0,00561797752808989;0,000805152979066023
2004-07-01;"Pääsküla";32;661;9879;0,048411497730711;0,00323919425043021
2004-07-01;"Pae";65;58;13807;1,12068965517241;0,0047077569348881
2004-07-01;"Pelgulinn";73;238;16003;0,30672268907563;0,00456164469162032
2004-07-01;"Pelguranna";70;100;14968;0,7;0,00467664350614645
2004-07-01;"Pikaliiva";5;447;3241;0,0111856823266219;0,00154273372415921
2004-07-01;"Pirita";7;173;1019;0,0404624277456647;0,00686947988223749
2004-07-01;"Priisle";34;185;11077;0,183783783783784;0,00306942312900605
2004-07-01;"Rahumäe";5;162;3092;0,0308641975308642;0,00161707632600259
2004-07-01;"Raua";31;31;6088;1;0,00509198423127464
2004-07-01;"Sääse";34;61;8981;0,557377049180328;0,00378576995880192
2004-07-01;"Sadama";26;139;3464;0,18705035971223;0,00750577367205543
2004-07-01;"Seli";61;95;12816;0,642105263157895;0,00475967540574282
2004-07-01;"Sibulaküla";18;13;2310;1,38461538461538;0,00779220779220779
2004-07-01;"Siili";22;26;3642;0,846153846153846;0,00604063701263042
2004-07-01;"Sikupilli";59;135;11901;0,437037037037037;0,00495756659104277
2004-07-01;"Sitsi";13;45;3865;0,288888888888889;0,00336351875808538
2004-07-01;"Südalinn";31;25;166;1,24;0,186746987951807
2004-07-01;"Tatari";23;22;2449;1,04545454545455;0,00939158840342997
2004-07-01;"Tiskre";28;139;1940;0,201438848920863;0,0144329896907217
2004-07-01;"Tondi";14;133;3989;0,105263157894737;0,00350965154173978
2004-07-01;"Tõnismäe";14;22;1460;0,636363636363636;0,00958904109589041
2004-07-01;"Torupilli";20;51;3912;0,392156862745098;0,00511247443762781
2004-07-01;"Ülemiste";7;340;1443;0,0205882352941176;0,00485100485100485
2004-07-01;"Ülemistejärve";2;1396;194;0,00143266475644699;0,0103092783505155
2004-07-01;"Uus Maailm";66;65;7677;1,01538461538462;0,00859710824540836
2004-07-01;"Väike-Õismäe";130;218;27150;0,596330275229358;0,00478821362799263
2004-07-01;"Vana-Mustamäe";1;198;2064;0,00505050505050505;0,000484496124031008
2004-07-01;"Vanalinn";32;110;4906;0,290909090909091;0,00652262535670607
2004-07-01;"Veerenni";29;92;4077;0,315217391304348;0,0071130733382389
2004-07-01;"Vismeistri";4;143;1914;0,027972027972028;0,00208986415882968
2004-10-01;"Astangu";19;207;3344;0,0917874396135266;0,00568181818181818
2004-10-01;"Haabersti";5;97;822;0,0515463917525773;0,00608272506082725
2004-10-01;"Hiiu";5;263;3970;0,0190114068441065;0,00125944584382872
2004-10-01;"Järve";31;105;2957;0,295238095238095;0,0104835982414609
2004-10-01;"Juhkentali";5;130;1374;0,0384615384615385;0,00363901018922853
2004-10-01;"Kadaka";60;281;3791;0,213523131672598;0,015826958586125
2004-10-01;"Kadriorg";58;256;5010;0,2265625;0,0115768463073852
2004-10-01;"Kalamaja";145;210;10756;0,69047619047619;0,0134808478988472
2004-10-01;"Karjamaa";22;97;5240;0,22680412371134;0,00419847328244275
2004-10-01;"Kassisaba";33;45;4766;0,733333333333333;0,00692404532102392
2004-10-01;"Katleri";39;38;5133;1,02631578947368;0,0075978959672706
2004-10-01;"Keldrimäe";24;35;5268;0,685714285714286;0,00455580865603645
2004-10-01;"Kelmiküla";9;21;1266;0,428571428571429;0,00710900473933649
2004-10-01;"Kitseküla";30;140;4250;0,214285714285714;0,00705882352941176
2004-10-01;"Kivimäe";10;222;4809;0,045045045045045;0,00207943439384487
2004-10-01;"Kompassi";9;16;1982;0,5625;0,00454086781029263
2004-10-01;"Kopli";40;282;7082;0,141843971631206;0,00564812199943519
2004-10-01;"Kose";2;346;3337;0,00578034682080925;0,000599340725202278
2004-10-01;"Kurepõllu";14;68;3890;0,205882352941176;0,00359897172236504
2004-10-01;"Kuristiku";75;84;11103;0,892857142857143;0,00675493109970278
2004-10-01;"Laagna";119;136;24093;0,875;0,00493919395675092
2004-10-01;"Laagri";1;41;906;0,024390243902439;0,0011037527593819
2004-10-01;"Lepiku";1;162;1565;0,00617283950617284;0,000638977635782748
2004-10-01;"Liiva";2;264;1333;0,00757575757575758;0,00150037509377344
2004-10-01;"Lilleküla";153;546;26051;0,28021978021978;0,00587309508272235
2004-10-01;"Loopealse";2;57;2682;0,0350877192982456;0,000745712155108128
2004-10-01;"Maakri";15;13;1082;1,15384615384615;0,0138632162661738
2004-10-01;"Maarjamäe";2;155;2493;0,0129032258064516;0,000802246289610911
2004-10-01;"Mähe";50;282;6509;0,177304964539007;0,0076816715317253
2004-10-01;"Männiku";21;447;5870;0,0469798657718121;0,00357751277683135
2004-10-01;"Merivälja";2;163;3088;0,0122699386503067;0,000647668393782383
2004-10-01;"Mustakivi";94;116;20055;0,810344827586207;0,00468711044627275
2004-10-01;"Mustamäe";262;441;51293;0,594104308390023;0,00510790946133001
2004-10-01;"Mustjõe";6;179;3167;0,0335195530726257;0,00189453741711399
2004-10-01;"Nõmme";19;480;6685;0,0395833333333333;0,00284218399401645
2004-10-01;"Pääsküla";25;661;9879;0,037821482602118;0,0025306205081486
2004-10-01;"Pae";79;58;13807;1,36206896551724;0,00572173535163323
2004-10-01;"Paljassaare";1;395;512;0,00253164556962025;0,001953125
